id,variant_name,type,pattern,scenario,impact,example
117,Reentrancy Variant 117,Read-only reentrancy,Balance checked after transfer,Variant #117: Read-only reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Vault updates shares after sending tokens to attacker contract.
118,Reentrancy Variant 118,Single-function reentrancy,Recursive callback before mutation,Variant #118: Single-function reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Inflated share minting,Attacker leverages ERC777 tokens to reenter before balance is updated.
119,Reentrancy Variant 119,Reentrancy via delegatecall,Unsafe external call to attacker contract,Variant #119: Reentrancy via delegatecall caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Vault updates shares after sending tokens to attacker contract.
120,Reentrancy Variant 120,Reentrancy via delegatecall,Recursive callback before mutation,Variant #120: Reentrancy via delegatecall caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Draining rewards pool,Vault updates shares after sending tokens to attacker contract.
121,Reentrancy Variant 121,Recursive fallback reentrancy,External call inside loop,Variant #121: Recursive fallback reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Inflated share minting,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
122,Reentrancy Variant 122,Recursive fallback reentrancy,External call inside loop,Variant #122: Recursive fallback reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Cross-function: deposit() sets state after external token transfer().
123,Reentrancy Variant 123,Single-function reentrancy,Missing reentrancy guard,Variant #123: Single-function reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Attacker leverages ERC777 tokens to reenter before balance is updated.
124,Reentrancy Variant 124,State-dependent reentrancy,Hooks triggered without control flow guard,Variant #124: State-dependent reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
125,Reentrancy Variant 125,Read-only reentrancy,Unsafe external call to attacker contract,Variant #125: Read-only reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Inflated share minting,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
126,Reentrancy Variant 126,Reentrancy via delegatecall,Balance checked after transfer,Variant #126: Reentrancy via delegatecall caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Inflated share minting,Cross-function: deposit() sets state after external token transfer().
127,Reentrancy Variant 127,Read-only reentrancy,Upgradeable proxy storage collision,Variant #127: Read-only reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Token supply manipulation,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
128,Reentrancy Variant 128,ERC777-hook reentrancy,Hooks triggered without control flow guard,Variant #128: ERC777-hook reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Token supply manipulation,Attacker leverages ERC777 tokens to reenter before balance is updated.
129,Reentrancy Variant 129,Cross-contract reentrancy,Upgradeable proxy storage collision,Variant #129: Cross-contract reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Bypassing access restrictions,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
130,Reentrancy Variant 130,Withdraw-before-update reentrancy,Unsafe external call to attacker contract,Variant #130: Withdraw-before-update reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
131,Reentrancy Variant 131,Pull-payment reentrancy,Recursive callback before mutation,Variant #131: Pull-payment reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Partial draining of pooled funds,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
132,Reentrancy Variant 132,Reentrancy via delegatecall,External call inside loop,Variant #132: Reentrancy via delegatecall caused by External call inside loop. Attacker reenters contract flow before state update.,Bypassing access restrictions,Attacker leverages ERC777 tokens to reenter before balance is updated.
133,Reentrancy Variant 133,ERC777-hook reentrancy,External call inside loop,Variant #133: ERC777-hook reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Complete balance drain,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
134,Reentrancy Variant 134,Cross-function reentrancy,Upgradeable proxy storage collision,Variant #134: Cross-function reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Inflated share minting,Vault updates shares after sending tokens to attacker contract.
135,Reentrancy Variant 135,Withdraw-before-update reentrancy,Multiple entry points sharing same state variable,Variant #135: Withdraw-before-update reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Token supply manipulation,Attacker leverages ERC777 tokens to reenter before balance is updated.
136,Reentrancy Variant 136,Single-function reentrancy,State updated after external call,Variant #136: Single-function reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Draining rewards pool,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
137,Reentrancy Variant 137,Pull-payment reentrancy,Missing reentrancy guard,Variant #137: Pull-payment reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Draining rewards pool,Cross-function: deposit() sets state after external token transfer().
138,Reentrancy Variant 138,Cross-function reentrancy,Hooks triggered without control flow guard,Variant #138: Cross-function reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Bypassing access restrictions,Cross-function: deposit() sets state after external token transfer().
139,Reentrancy Variant 139,Withdraw-before-update reentrancy,External call inside loop,Variant #139: Withdraw-before-update reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Inflated share minting,Vault updates shares after sending tokens to attacker contract.
140,Reentrancy Variant 140,Single-function reentrancy,Balance checked after transfer,Variant #140: Single-function reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Draining rewards pool,Cross-function: deposit() sets state after external token transfer().
